153,852 222,246 174,911 201,480 380,343 293,952 212,955 458,652 221,472 238,313 
110,556 168,850 126,416 140,789 279,699 220,049 153,329 323,265 157,251 166,244 
113,713 171,505 131,716 148,428 289,528 232,237 161,756 334,410 163,350 173,351 
304,145 467,676 353,529 439,100 751,106 630,258 450,027 1 004,750 432,228 507,585 
198,707 307,930 230,285 318,687 449,158 440,893 307,408 737,197 277,642 363,197 
116,998 183,005 139,923 151,943 274,392 293,437 171,882 347,595 170,457 179,220 
160,982 245,253 187,397 231,799 371,838 352,763 241,221 540,762 228,137 270,743 
148,637 238,929 172,191 192,446 421,026 292,756 213,766 439,013 220,402 226,525 
118,186 180,000 134,608 160,969 278,111 248,684 167,319 372,912 165,331 188,886 
137,089 219,330 163,072 168,593 393,597 274,822 201,921 386,852 204,840 200,079 
*** *** *** *** *** ***
436,393 356,655 299,395 247,419 107,957 362,322 227,897 101,172 342,930 267,885 
824,696 525,873 536,817 455,998 196,169 575,999 311,514 201,674 464,531 546,239 
704,139 624,748 544,374 544,894 192,152 579,532 340,933 183,738 443,782 463,880 
511,526 457,804 404,439 357,707 128,602 502,208 241,528 121,319 379,471 310,539 
573,122 460,696 386,525 399,885 168,343 485,671 417,109 155,490 610,920 407,413 
527,364 445,395 490,335 633,908 191,913 532,808 382,740 178,238 468,797 442,515 
387,503 269,908 282,208 295,448 109,913 315,986 172,729 99,258 242,091 250,620 
872,295 535,362 532,266 403,077 193,879 586,710 273,982 190,470 396,343 514,415 
775,644 562,894 512,782 445,883 215,796 666,639 323,619 190,229 535,304 419,699 
253,303 245,780 210,825 205,812 70,372 213,173 131,853 68,260 181,087 183,810 
*** *** *** *** *** ***
357,778 182,858 220,088 170,825 167,281 178,646 269,969 291,985 158,280 264,049 
261,449 131,384 147,460 108,128 138,963 126,703 212,641 182,555 109,311 158,472 
470,455 242,474 298,273 205,217 200,490 236,788 319,339 308,449 183,593 298,383 
393,941 205,562 240,063 184,966 180,640 185,659 298,753 264,452 171,499 257,118 
380,511 188,076 229,107 158,976 200,836 189,304 310,766 268,185 159,706 232,186 
597,277 301,899 335,829 231,092 281,530 285,619 422,894 355,227 218,598 331,422 
295,278 148,171 196,409 136,215 134,482 148,152 219,101 201,479 123,235 186,403 
406,502 216,111 255,441 201,702 191,962 213,508 315,455 332,268 186,246 290,739 
566,079 283,615 335,846 228,726 329,700 272,892 490,312 408,266 261,589 357,869 
255,884 128,354 157,292 114,618 121,679 130,077 189,556 200,978 106,839 177,266 
*** *** *** *** *** ***
