551,093 522,507 434,494 268,913 455,487 296,958 333,926 506,094 351,252 943,796 
623,657 624,766 514,038 301,912 615,796 325,608 369,835 680,134 411,578 861,638 
741,037 796,291 631,104 404,658 733,239 393,955 431,950 819,077 512,813 1 058,944 
597,840 615,955 512,111 308,772 565,714 323,527 371,318 656,710 417,022 868,871 
419,050 429,971 351,381 215,652 350,720 222,589 255,774 401,307 285,046 629,252 
281,262 343,700 265,338 171,317 256,744 177,540 196,766 305,882 220,083 444,884 
351,904 331,517 280,074 171,459 304,101 164,190 190,117 351,197 236,355 461,592 
686,347 603,949 505,034 291,214 523,541 303,846 344,654 572,609 413,615 836,140 
558,755 657,572 505,934 339,675 493,578 348,784 368,575 547,024 386,536 1 005,034 
371,598 458,742 351,425 240,656 314,965 229,164 240,955 363,790 273,564 612,808 
*** *** *** *** *** ***
425,078 362,085 495,777 187,874 472,665 482,100 397,183 292,649 260,472 345,444 
648,106 491,613 708,509 235,288 609,723 622,190 516,264 447,883 352,872 411,969 
570,131 586,313 795,757 276,270 761,115 795,555 567,970 461,306 410,158 476,185 
379,139 442,187 530,115 226,413 649,539 725,542 408,324 418,013 333,092 326,024 
402,366 456,620 472,616 227,440 601,995 685,828 422,806 433,575 340,860 326,599 
287,290 234,655 321,604 127,576 360,347 384,546 224,922 251,474 174,123 194,782 
664,699 578,086 752,196 294,881 854,617 870,814 566,953 515,271 422,716 502,870 
391,418 491,625 548,318 211,121 512,236 543,866 450,818 324,977 343,192 375,280 
662,011 598,455 779,965 312,615 678,320 800,476 692,117 577,642 451,749 472,105 
541,539 558,540 689,250 297,632 739,308 830,283 543,769 530,969 409,907 461,845 
*** *** *** *** *** ***
211,126 672,518 227,050 882,228 722,670 512,984 349,529 265,598 487,185 484,501 
334,379 625,348 291,087 1 147,934 753,502 706,190 554,525 359,181 826,712 527,426 
297,269 537,280 312,584 1 022,051 789,194 682,302 466,795 323,971 707,699 627,286 
264,247 322,708 180,225 816,719 548,166 458,991 343,765 202,924 710,070 411,142 
230,821 543,712 235,718 847,854 686,878 490,693 354,442 247,235 532,836 481,207 
203,605 345,315 197,053 682,115 553,967 414,947 290,363 190,819 488,499 413,918 
242,529 396,559 233,331 772,984 623,367 535,483 350,901 243,219 564,701 513,338 
171,605 373,711 167,707 677,477 446,219 320,232 271,398 187,896 454,606 265,454 
201,316 700,009 206,992 889,706 680,087 453,779 339,646 258,912 482,466 407,942 
172,316 315,152 207,250 592,620 492,204 354,794 255,160 176,535 394,130 420,852 
*** *** *** *** *** ***
