368,355 301,024 489,531 204,114 248,076 263,917 285,993 259,607 577,025 460,385 
264,743 220,052 233,963 177,961 165,717 202,566 218,106 200,433 395,138 223,970 
243,859 351,918 272,104 186,823 196,388 266,112 265,059 324,859 454,082 297,790 
304,807 382,290 355,948 237,074 223,841 298,456 300,922 356,408 515,864 332,173 
399,814 355,254 439,722 217,975 300,772 301,917 309,263 354,089 674,649 532,468 
263,299 356,448 274,770 214,411 194,810 284,383 279,485 323,653 468,478 265,702 
211,650 230,554 183,401 197,174 139,972 171,705 175,721 171,662 331,036 192,137 
721,448 983,754 647,677 571,587 537,461 782,020 774,911 988,273 1 228,544 691,237 
196,293 227,219 188,321 155,155 145,949 185,163 176,868 214,601 327,740 200,715 
430,234 517,202 392,542 343,516 310,290 440,448 433,155 491,085 734,379 364,168 
*** *** *** *** *** ***
391,713 645,916 753,945 517,603 268,396 859,693 459,322 391,986 362,730 302,201 
237,150 382,736 514,966 356,168 175,367 550,234 279,056 229,514 236,075 195,719 
275,134 480,207 509,069 387,592 186,977 597,164 330,990 268,897 254,323 193,354 
471,977 936,100 1 059,437 724,338 389,664 1 111,297 472,046 509,124 388,572 346,163 
510,326 808,004 831,574 652,463 343,160 913,922 489,061 475,655 398,828 313,879 
229,899 411,497 443,568 316,564 175,194 514,912 232,964 225,359 197,908 156,993 
295,280 428,257 531,118 434,160 225,810 655,412 316,275 255,652 301,727 210,853 
214,023 262,192 318,521 289,098 155,053 416,163 191,742 159,688 212,386 135,170 
137,106 207,721 268,110 209,996 110,847 299,527 135,744 129,880 130,611 102,796 
356,623 677,269 814,490 508,115 273,816 829,883 382,134 398,273 300,630 289,370 
*** *** *** *** *** ***
88,916 236,010 92,719 94,690 127,345 114,034 258,110 168,629 360,224 100,735 
133,137 394,502 161,353 148,566 210,002 187,572 433,520 301,084 530,307 159,178 
199,192 611,997 234,709 229,713 300,136 267,476 670,830 416,545 871,935 228,467 
124,876 379,262 160,710 135,693 229,767 182,947 397,282 326,709 477,429 170,363 
144,370 416,465 171,533 155,019 217,749 202,210 457,734 308,936 575,039 166,897 
164,792 498,441 197,130 171,339 279,583 230,586 533,923 357,761 623,938 211,289 
237,230 600,594 289,402 266,501 389,609 353,648 645,823 646,081 916,344 300,784 
61,279 176,478 75,330 68,816 103,239 88,166 190,081 152,533 228,353 77,380 
169,594 509,325 211,685 196,049 264,891 243,385 563,454 401,216 720,200 201,656 
168,905 474,604 187,963 184,201 241,706 231,026 528,027 327,879 620,906 186,502 
*** *** *** *** *** ***
