476,877 465,862 426,580 398,456 589,021 440,810 755,382 241,610 910,465 319,081 
307,305 280,046 242,250 241,865 377,780 362,841 304,787 152,183 405,775 150,699 
630,659 597,940 565,322 521,322 904,848 724,633 841,626 308,649 711,927 405,107 
283,678 264,513 279,999 225,075 406,556 280,069 535,656 128,037 290,164 249,832 
587,438 498,930 438,830 477,394 606,508 936,943 688,393 303,086 1 051,012 298,330 
391,846 362,418 364,621 315,137 523,150 385,359 699,689 186,555 616,891 306,968 
532,758 302,082 321,954 299,122 718,276 653,111 378,583 210,417 555,378 188,843 
333,595 287,825 259,299 244,665 412,395 347,376 347,119 156,340 425,265 169,673 
530,148 408,362 452,227 393,488 931,967 670,837 711,416 236,644 506,026 361,052 
610,602 395,993 392,031 407,618 671,468 1 008,021 555,210 271,651 767,288 250,908 
*** *** *** *** *** ***
491,210 125,639 249,863 321,494 296,581 302,554 586,967 638,705 431,577 374,906 
285,900 84,406 156,281 217,790 203,970 182,037 356,029 387,676 280,916 210,602 
285,765 73,177 144,113 154,264 158,788 167,466 329,355 351,959 247,806 187,918 
358,033 92,383 179,913 229,440 210,665 219,081 446,904 484,440 311,911 279,300 
636,872 165,164 323,336 486,616 415,694 404,269 757,559 819,231 574,804 512,700 
461,182 120,166 232,060 291,113 263,965 285,913 578,476 616,327 401,081 353,708 
602,175 184,327 329,790 485,625 443,289 388,741 753,847 826,375 599,836 453,642 
596,287 170,078 301,114 368,879 345,448 359,765 754,052 792,426 534,949 417,632 
652,512 176,475 349,315 415,164 405,652 404,212 805,547 864,556 608,041 458,259 
451,344 122,152 235,002 272,954 266,941 275,172 581,004 616,453 409,053 327,475 
*** *** *** *** *** ***
427,720 937,073 865,191 532,379 564,665 583,289 337,589 557,871 549,931 505,059 
361,971 492,548 641,049 357,383 537,803 431,294 281,278 645,413 395,613 406,626 
371,692 638,435 665,848 432,535 510,059 497,568 268,482 572,358 437,302 497,282 
553,355 566,369 892,493 443,144 532,056 485,226 321,950 590,946 431,244 481,632 
473,144 820,089 873,349 547,236 631,302 647,665 358,853 713,717 536,976 573,132 
452,238 690,252 648,967 395,965 495,626 577,935 307,178 553,743 524,252 460,369 
425,696 1 186,252 1 025,272 649,472 611,795 681,630 387,818 562,666 648,795 535,382 
332,669 536,848 491,506 380,910 448,595 414,112 235,971 403,117 543,096 488,953 
791,365 724,894 1 148,523 598,626 829,471 729,566 451,160 965,644 644,016 774,700 
186,094 290,900 320,472 206,406 245,677 230,477 124,543 275,358 191,311 247,365 
*** *** *** *** *** ***
